prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
神奈川,17,神奈川17区,横田 英司,よこた えいじ,横田,英司,よこた,えいじ,59,共産,NA,新,0,0,0,0,27798,12.18
神奈川,17,神奈川17区,牧島 かれん,まきしま かれん,牧島,かれん,まきしま,かれん,40,自民,公明,前,2,1,1,0,117003,51.27
神奈川,17,神奈川17区,神山 洋介,かみやま ようすけ,神山,洋介,かみやま,ようすけ,42,希望,NA,前,2,1,0,0,83407,36.55
神奈川,18,神奈川18区,山際 大志郎,やまぎわ だいしろう,山際,大志郎,やまぎわ,だいしろう,49,自民,公明,前,4,1,1,0,111285,51.14
神奈川,18,神奈川18区,三村 和也,みむら かずや,三村,和也,みむら,かずや,42,希望,NA,元,1,1,0,0,66057,30.36
神奈川,18,神奈川18区,若林 靖久,わかばやし やすひさ,若林,靖久,わかばやし,やすひさ,32,共産,NA,新,0,1,0,0,40252,18.5
新潟,1,新潟1区,西村 智奈美,にしむら ちなみ,西村,智奈美,にしむら,ちなみ,50,立憲,共産/社民,前,4,1,1,0,128045,53.11
新潟,1,新潟1区,石崎 徹,いしざき とおる,石崎,徹,いしざき,とおる,33,自民,公明,前,2,1,0,1,113045,46.89
新潟,2,新潟2区,細田 健一,ほそだ けんいち,細田,健一,ほそだ,けんいち,53,自民,公明,前,2,1,0,1,81705,43.1
新潟,2,新潟2区,鷲尾 英一郎,わしお えいいちろう,鷲尾,英一郎,わしお,えいいちろう,40,無所,NA,前,4,0,1,0,97808,51.6
新潟,2,新潟2区,五十嵐 健彦,いがらし たけひこ,五十嵐,健彦,いがらし,たけひこ,37,共産,NA,新,0,0,0,0,10055,5.3
新潟,3,新潟3区,三村 誉一,みむら よいち,三村,誉一,みむら,よいち,71,無所,NA,新,0,0,0,0,3375,1.73
新潟,3,新潟3区,斎藤 洋明,さいとう ひろあき,斎藤,洋明,さいとう,ひろあき,40,自民,公明,前,2,1,0,1,95594,49.12
新潟,3,新潟3区,黒岩 宇洋,くろいわ たかひろ,黒岩,宇洋,くろいわ,たかひろ,51,無所,共産/社民,前,2,0,1,0,95644,49.15
新潟,4,新潟4区,菊田 真紀子,きくた まきこ,菊田,真紀子,きくた,まきこ,47,無所,共産/社民,前,5,0,1,0,112600,56.27
新潟,4,新潟4区,金子 恵美,かねこ めぐみ,金子,恵美,かねこ,めぐみ,39,自民,公明,前,2,1,0,0,87524,43.73
新潟,5,新潟5区,泉田 裕彦,いずみだ ひろひこ,泉田,裕彦,いずみだ,ひろひこ,55,自民,公明,新,0,1,1,0,91855,51.82
新潟,5,新潟5区,笠原 麗香,かさはら れいか,笠原,麗香,かさはら,れいか,25,諸派,NA,新,0,0,0,0,5735,3.24
新潟,5,新潟5区,大平 悦子,おおだいら えつこ,大平,悦子,おおだいら,えつこ,61,無所,共産/自由/社民,新,0,0,0,0,79655,44.94
新潟,6,新潟6区,高鳥 修一,たかとり しゅういち,高鳥,修一,たかとり,しゅういち,57,自民,公明,前,3,1,1,0,94292,50.59
新潟,6,新潟6区,梅谷 守,うめたに まもる,梅谷,守,うめたに,まもる,43,無所,共産/社民,新,0,0,0,0,92080,49.41
富山,1,富山1区,田畑 裕明,たばた ひろあき,田畑,裕明,たばた,ひろあき,44,自民,公明,前,2,1,1,0,74876,59.16
富山,1,富山1区,吉田 豊史,よしだ とよふみ,吉田,豊史,よしだ,とよふみ,47,維新,希望,前,1,1,0,0,38219,30.2
富山,1,富山1区,青山 了介,あおやま りょうすけ,青山,了介,あおやま,りょうすけ,42,共産,NA,新,0,0,0,0,13471,10.64
富山,2,富山2区,宮腰 光寛,みやこし みつひろ,宮腰,光寛,みやこし,みつひろ,66,自民,公明,前,7,1,1,0,94086,74.42
